machine,function,segment size [B],size,run_date,avg [s],std [s],rel_variance [%],rep_0,rep_1,rep_2,rep_3,rep_4,,,,,200000,250000,300000,350000,400000,430000,450000,480000,500000
PC_AMD_Ryzen_7_7735HS,serial_segmented,300000,100000000,2026-07-05T09:55:33,0.42044982,0.01593602,3.790231088,0.4355142,0.4152036,0.3951288,0.428051,0.4283515,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,350000,100000000,2026-07-05T09:55:33,0.42383192,0.056105408,13.23765509,0.4052639,0.3709124,0.3812396,0.5045869,0.4571568,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,400000,100000000,2026-07-05T09:55:33,0.38307048,0.033915302,8.853540902,0.426678,0.3761537,0.4063017,0.3656897,0.3405293,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,430000,100000000,2026-07-05T09:55:33,0.3917572,0.032365459,8.261611759,0.41268,0.3791884,0.3673667,0.4376626,0.3618883,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,450000,100000000,2026-07-05T09:55:33,0.3800365,0.010940176,2.878717132,0.3851838,0.3810942,0.3826657,0.3898532,0.3613856,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,480000,100000000,2026-07-05T09:55:33,0.37451648,0.036169441,9.657636803,0.3845145,0.428456,0.3741583,0.3527813,0.3326723,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,500000,100000000,2026-07-05T09:55:33,0.39152794,0.051297181,13.10179315,0.3928189,0.4690441,0.4030749,0.3585967,0.3341051,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,200000,200000000,2026-07-05T09:55:33,1.41817954,0.058258368,4.10796843,1.4300192,1.3977026,1.3842306,1.5134907,1.3654546,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,250000,200000000,2026-07-05T09:55:33,1.33305546,0.096874722,7.267118676,1.2381505,1.4904778,1.3225476,1.3408678,1.2732336,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,300000,200000000,2026-07-05T09:55:33,1.41104284,0.326223996,23.11935447,1.1791618,1.0961132,1.3006805,1.5902626,1.8889961,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,350000,200000000,2026-07-05T09:55:33,1.2160624,0.238893229,19.6448167,1.4137781,1.141543,0.9941057,1.0109886,1.5198966,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,400000,200000000,2026-07-05T09:55:33,1.22422608,0.24069421,19.66092817,1.2152207,0.9586194,1.054195,1.3174305,1.5756648,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,430000,200000000,2026-07-05T09:55:33,0.97405778,0.156819501,16.09960977,1.232363,1.0116278,0.8966527,0.87861,0.8510354,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,450000,200000000,2026-07-05T09:55:33,0.9268446,0.136743397,14.75364882,0.8325019,0.9859913,0.8189881,0.8560137,1.140728,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,480000,200000000,2026-07-05T09:55:33,0.83525002,0.030408831,3.640686108,0.8769715,0.8149514,0.8048992,0.8568173,0.8226107,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,500000,200000000,2026-07-05T09:55:33,0.89186322,0.154079957,17.27618696,1.1633602,0.8182403,0.8634546,0.8253688,0.7888922,,,,,,,,,,,,,
