function,N,threads,run_date,time_avg,time_std,speedup_avg,baseline_time,time_rep_0,time_rep_1,time_rep_2,time_rep_3,time_rep_4
numba_parallel_inner_loop_bool_sieve,100000,1,2026-07-03T18-22-01,0.00038206,7.10E-05,1,0.00038206,0.0003314,0.0003392,0.0003254,0.0004821,0.0004322
numba_parallel_inner_loop_bool_sieve,100000,2,2026-07-03T18-22-01,0.00056832,0.000290594,0.672262162,0.00038206,0.0009386,0.0003558,0.0003572,0.000361,0.000829
numba_parallel_inner_loop_bool_sieve,100000,4,2026-07-03T18-22-01,0.00057808,0.000238006,0.660912141,0.00038206,0.0009917,0.0005667,0.0004661,0.0004518,0.0004141
numba_parallel_inner_loop_bool_sieve,100000,8,2026-07-03T18-22-01,0.0009079,0.000341495,0.420817343,0.00038206,0.001466,0.0009608,0.0007528,0.0005699,0.00079
numba_parallel_inner_loop_bool_sieve,200000,1,2026-07-03T18-22-01,0.00057676,9.76E-05,1,0.00057676,0.0007256,0.0005502,0.000481,0.0006169,0.0005101
numba_parallel_inner_loop_bool_sieve,200000,2,2026-07-03T18-22-01,0.00062602,0.000210658,0.92131245,0.00057676,0.0010026,0.0005416,0.0005359,0.0005207,0.0005293
numba_parallel_inner_loop_bool_sieve,200000,4,2026-07-03T18-22-01,0.00085454,0.000189705,0.674936231,0.00057676,0.0011279,0.0009288,0.0006141,0.0007921,0.0008098
numba_parallel_inner_loop_bool_sieve,200000,8,2026-07-03T18-22-01,0.00107946,0.000454966,0.534304202,0.00057676,0.0018774,0.0009693,0.0007638,0.000965,0.0008218
numba_parallel_inner_loop_bool_sieve,500000,1,2026-07-03T18-22-01,0.00123444,0.000306151,1,0.00123444,0.0017669,0.001219,0.0010769,0.0010253,0.0010841
numba_parallel_inner_loop_bool_sieve,500000,2,2026-07-03T18-22-01,0.00125266,0.000268706,0.985454916,0.00123444,0.0014665,0.0010849,0.0010516,0.0016152,0.0010451
numba_parallel_inner_loop_bool_sieve,500000,4,2026-07-03T18-22-01,0.00132188,0.000222868,0.93385181,0.00123444,0.0016695,0.0013757,0.0011169,0.0011411,0.0013062
numba_parallel_inner_loop_bool_sieve,500000,8,2026-07-03T18-22-01,0.00178286,0.0004815,0.692393108,0.00123444,0.0026027,0.0014269,0.0016804,0.0014398,0.0017645
numba_parallel_inner_loop_bool_sieve,1000000,1,2026-07-03T18-22-01,0.00251458,0.000319194,1,0.00251458,0.0030164,0.0023201,0.0025241,0.00254,0.0021723
numba_parallel_inner_loop_bool_sieve,1000000,2,2026-07-03T18-22-01,0.00196228,0.000244838,1.281458309,0.00251458,0.0023938,0.00189,0.0018876,0.0018538,0.0017862
numba_parallel_inner_loop_bool_sieve,1000000,4,2026-07-03T18-22-01,0.00210578,0.000378809,1.194132373,0.00251458,0.0025209,0.0024989,0.0017501,0.0019749,0.0017841
numba_parallel_inner_loop_bool_sieve,1000000,8,2026-07-03T18-22-01,0.00234252,0.000300869,1.073450826,0.00251458,0.0028581,0.0021208,0.0022051,0.0021749,0.0023537
