function,N,threads,run_date,time_avg,time_std,speedup_avg,time_rep_0,time_rep_1,time_rep_2,baseline_time
numba_parallel_inner_loop_bool_sieve,10000000,1,2026-07-03T19-07-48,0.0142935,0.000377978,1,0.014459,0.0145605,0.013861,
numba_parallel_inner_loop_bool_sieve,10000000,2,2026-07-03T19-07-48,0.010621167,0.001517657,1.345756114,0.0095123,0.0123508,0.0100004,0.0142935
numba_parallel_inner_loop_bool_sieve,10000000,3,2026-07-03T19-07-48,0.009838333,0.002408776,1.452837536,0.0086474,0.0126106,0.008257,0.0142935
numba_parallel_inner_loop_bool_sieve,10000000,4,2026-07-03T19-07-48,0.0078315,0.001393238,1.825129287,0.0094284,0.0068641,0.007202,0.0142935
numba_parallel_inner_loop_bool_sieve,10000000,5,2026-07-03T19-07-48,0.008469,0.002146482,1.687743535,0.0109426,0.0070967,0.0073677,0.0142935
numba_parallel_inner_loop_bool_sieve,10000000,6,2026-07-03T19-07-48,0.0077458,0.001199641,1.845322617,0.0090839,0.007387,0.0067665,0.0142935
numba_parallel_inner_loop_bool_sieve,10000000,7,2026-07-03T19-07-48,0.0087857,0.00065206,1.626905091,0.00906,0.0080413,0.0092558,0.0142935
numba_parallel_inner_loop_bool_sieve,10000000,8,2026-07-03T19-07-48,0.008895033,0.000409051,1.606907971,0.0088118,0.0093393,0.008534,0.0142935
numba_parallel_inner_loop_bool_sieve,100000000,1,2026-07-03T19-07-48,0.545826933,0.005636374,1,0.5431222,0.5523059,0.5420527,
numba_parallel_inner_loop_bool_sieve,100000000,2,2026-07-03T19-07-48,0.3614492,0.005655556,1.510106907,0.3585808,0.3679642,0.3578026,0.545826933
numba_parallel_inner_loop_bool_sieve,100000000,3,2026-07-03T19-07-48,0.316137433,0.025410044,1.726549518,0.3436904,0.3110957,0.2936262,0.545826933
numba_parallel_inner_loop_bool_sieve,100000000,4,2026-07-03T19-07-48,0.285839633,0.006824099,1.909556512,0.2929458,0.2793378,0.2852353,0.545826933
numba_parallel_inner_loop_bool_sieve,100000000,5,2026-07-03T19-07-48,0.267431467,0.007305794,2.040997419,0.2604302,0.2750078,0.2668564,0.545826933
numba_parallel_inner_loop_bool_sieve,100000000,6,2026-07-03T19-07-48,0.2928744,0.007007522,1.863689463,0.2878351,0.3008767,0.2899114,0.545826933
numba_parallel_inner_loop_bool_sieve,100000000,7,2026-07-03T19-07-48,0.2828011,0.002792047,1.930073586,0.2801346,0.2857037,0.282565,0.545826933
numba_parallel_inner_loop_bool_sieve,100000000,8,2026-07-03T19-07-48,0.290884967,0.008460402,1.87643569,0.2998632,0.2830609,0.2897308,0.545826933
numba_parallel_inner_loop_bool_sieve,500000000,1,2026-07-03T19-07-48,3.1849846,0.010325854,1,3.1778739,3.1968286,3.1802513,
numba_parallel_inner_loop_bool_sieve,500000000,2,2026-07-03T19-07-48,2.128233067,0.003023657,1.496539383,2.1285176,2.1311044,2.1250772,3.1849846
numba_parallel_inner_loop_bool_sieve,500000000,3,2026-07-03T19-07-48,1.751287933,0.045571917,1.818652741,1.7165018,1.7344868,1.8028752,3.1849846
numba_parallel_inner_loop_bool_sieve,500000000,4,2026-07-03T19-07-48,1.6267057,0.016698523,1.957935354,1.6327672,1.607823,1.6395269,3.1849846
numba_parallel_inner_loop_bool_sieve,500000000,5,2026-07-03T19-07-48,1.614506933,0.012628478,1.97272897,1.628808,1.6098238,1.604889,3.1849846
numba_parallel_inner_loop_bool_sieve,500000000,6,2026-07-03T19-07-48,1.623771667,0.020349108,1.961473196,1.6026011,1.6431854,1.6255285,3.1849846
numba_parallel_inner_loop_bool_sieve,500000000,7,2026-07-03T19-07-48,1.658944233,0.009646982,1.919886477,1.6643025,1.6647227,1.6478075,3.1849846
numba_parallel_inner_loop_bool_sieve,500000000,8,2026-07-03T19-07-48,1.6774303,0.03170228,1.89872843,1.659816,1.6584465,1.7140284,3.1849846
numba_parallel_inner_loop_bool_sieve,1000000000,1,2026-07-03T19-07-48,6.737161933,0.055428111,1,6.8011648,6.7051435,6.7051775,
numba_parallel_inner_loop_bool_sieve,1000000000,2,2026-07-03T19-07-48,4.5290906,0.011673461,1.487530838,4.5373056,4.5157281,4.5342381,6.737161933
numba_parallel_inner_loop_bool_sieve,1000000000,3,2026-07-03T19-07-48,3.7041031,0.042824521,1.818837584,3.6627713,3.7482786,3.7012594,6.737161933
numba_parallel_inner_loop_bool_sieve,1000000000,4,2026-07-03T19-07-48,3.419728633,0.023566156,1.97008671,3.4437967,3.4186905,3.3966987,6.737161933
numba_parallel_inner_loop_bool_sieve,1000000000,5,2026-07-03T19-07-48,3.4065837,0.039031714,1.977688654,3.3621472,3.4353229,3.422281,6.737161933
numba_parallel_inner_loop_bool_sieve,1000000000,6,2026-07-03T19-07-48,3.457436733,0.046030032,1.948600207,3.510221,3.4256474,3.4364418,6.737161933
numba_parallel_inner_loop_bool_sieve,1000000000,7,2026-07-03T19-07-48,3.836919333,0.147032379,1.755877919,3.7134902,3.9995916,3.7976762,6.737161933
numba_parallel_inner_loop_bool_sieve,1000000000,8,2026-07-03T19-07-48,3.8129959,0.078383418,1.766894618,3.9029893,3.7763569,3.7596415,6.737161933
