machine,function,size,run_date,avg [s],std [s],rel_variance [%],rep_0,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,10000,2026-07-04T18:10:05,0.00091632,3.24E-05,3.531196871,0.0009398,0.0008944,0.0008909,0.0008804,0.0008809,0.0009805,0.000933,0.0009016,0.0009218,0.0009399
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,50000,2026-07-04T18:10:05,0.00514545,0.000222808,4.330193846,0.0055516,0.0047892,0.0051313,0.0050069,0.0048951,0.0050733,0.005266,0.0053685,0.0051895,0.0051831
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,100000,2026-07-04T18:10:05,0.01739966,0.003815772,21.93015538,0.0102587,0.0121956,0.0185525,0.0180293,0.0176737,0.018392,0.0174247,0.0171401,0.0206328,0.0236972
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,500000,2026-07-04T18:10:05,0.06222207,0.025667899,41.25208226,0.1212062,0.094261,0.0594219,0.0475917,0.0474977,0.0425248,0.0444835,0.0618628,0.0571832,0.0461879
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,1000000,2026-07-04T18:10:05,0.10023256,0.011791958,11.76459795,0.1163616,0.1049875,0.1053792,0.0972185,0.1194729,0.1014418,0.0972133,0.086433,0.0887647,0.0850531
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,5000000,2026-07-04T18:10:05,0.50995887,0.039266852,7.700003716,0.5116059,0.4793588,0.5785938,0.4853972,0.5378283,0.4722332,0.5584494,0.4861973,0.527042,0.4628828
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,10000000,2026-07-04T18:10:05,1.02865531,0.028954506,2.814791901,1.0909771,1.004653,1.0388802,1.0047087,1.0580951,1.0111085,1.0236275,1.0158662,0.9984692,1.0401676
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,50000000,2026-07-04T18:10:05,5.35234499,0.125152793,2.338279642,5.1393178,5.2286729,5.2873814,5.2806378,5.5383952,5.478691,5.468531,5.3455678,5.430467,5.325788
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,100000000,2026-07-04T18:10:05,10.98779573,0.147737331,1.344558408,10.7656371,11.0404652,10.9819759,10.8618105,11.0577426,11.0499365,11.3118991,10.9333328,10.9950047,10.8801529
PC_AMD_Ryzen_7_7735HS,serial_bool_sieve,10000,2026-07-04T18:10:05,0.0015932,0.000147892,9.282721,0.0019714,0.0017225,0.0014975,0.0015173,0.0015414,0.0015431,0.001579,0.0015352,0.0015251,0.0014995
PC_AMD_Ryzen_7_7735HS,serial_bool_sieve,50000,2026-07-04T18:10:05,0.0071514,0.000513542,7.181006482,0.0080086,0.0079215,0.0075195,0.0072758,0.0069454,0.006941,0.0068562,0.0068483,0.0066947,0.006503
PC_AMD_Ryzen_7_7735HS,serial_bool_sieve,100000,2026-07-04T18:10:05,0.01292874,0.000336863,2.605537067,0.0127183,0.0124619,0.0128591,0.0130318,0.0128267,0.0128477,0.0125377,0.0131901,0.0135617,0.0132524
PC_AMD_Ryzen_7_7735HS,serial_bool_sieve,500000,2026-07-04T18:10:05,0.07218779,0.002836512,3.92935214,0.0743828,0.071038,0.0711546,0.0704839,0.0695609,0.0721016,0.0695424,0.0702069,0.0780617,0.0753451
PC_AMD_Ryzen_7_7735HS,serial_bool_sieve,1000000,2026-07-04T18:10:05,0.14902752,0.015476507,10.3849994,0.1895234,0.1421249,0.1467702,0.1413513,0.1399649,0.1522894,0.1558656,0.1390079,0.1363746,0.147003
PC_AMD_Ryzen_7_7735HS,serial_bool_sieve,5000000,2026-07-04T18:10:05,0.77513626,0.02029042,2.617658447,0.757695,0.7959655,0.7508854,0.8000296,0.8029529,0.767834,0.7820083,0.7529902,0.7572393,0.7837624
PC_AMD_Ryzen_7_7735HS,serial_bool_sieve,10000000,2026-07-04T18:10:05,1.57664223,0.020224088,1.282731595,1.5747383,1.5965535,1.5652449,1.5304701,1.5986821,1.5868753,1.5848718,1.5612526,1.5807167,1.587017
PC_AMD_Ryzen_7_7735HS,serial_bool_sieve,50000000,2026-07-04T18:10:05,9.39450993,1.119582587,11.91741342,8.2638896,8.0811061,8.2840756,8.5432305,11.7133765,9.7938587,9.9915376,9.7470226,9.8869429,9.6400592
PC_AMD_Ryzen_7_7735HS,serial_bool_sieve,100000000,2026-07-04T18:10:05,17.84782663,1.872872117,10.49355844,19.6050435,19.4770132,18.7214272,21.0651469,18.6353965,16.6832376,16.0851175,16.3651909,15.9307537,15.9099393
PC_AMD_Ryzen_7_7735HS,numba_parallel_inner_loop_bool_sieve,10000,2026-07-04T18:10:05,0.0681367,0.214443969,314.7260859,0.6784549,0.0003588,0.0002927,0.0002873,0.0002874,0.0002723,0.0005191,0.0003012,0.0002917,0.0003016
PC_AMD_Ryzen_7_7735HS,numba_parallel_inner_loop_bool_sieve,50000,2026-07-04T18:10:05,0.0006836,0.000176155,25.76875224,0.0008367,0.0006521,0.0005628,0.0005751,0.0005815,0.000651,0.0005862,0.0005927,0.0011297,0.0006682
PC_AMD_Ryzen_7_7735HS,numba_parallel_inner_loop_bool_sieve,100000,2026-07-04T18:10:05,0.00131068,0.0003897,29.73268903,0.0018642,0.0019947,0.0015954,0.0011927,0.0013634,0.0009464,0.0010208,0.0009036,0.0012432,0.0009824
PC_AMD_Ryzen_7_7735HS,numba_parallel_inner_loop_bool_sieve,500000,2026-07-04T18:10:05,0.0029119,0.000968464,33.25883244,0.0044988,0.0026106,0.0020752,0.0020789,0.0022804,0.0021036,0.0031739,0.0046884,0.0030678,0.0025414
PC_AMD_Ryzen_7_7735HS,numba_parallel_inner_loop_bool_sieve,1000000,2026-07-04T18:10:05,0.00533051,0.002009624,37.70041317,0.0035494,0.0091134,0.0061019,0.0071823,0.0040224,0.003853,0.0041653,0.0076104,0.003971,0.003736
PC_AMD_Ryzen_7_7735HS,numba_parallel_inner_loop_bool_sieve,5000000,2026-07-04T18:10:05,0.01482876,0.003146211,21.21695254,0.0194454,0.0176749,0.0189661,0.0139086,0.0122035,0.0126168,0.015314,0.0155667,0.0127417,0.0098499
PC_AMD_Ryzen_7_7735HS,numba_parallel_inner_loop_bool_sieve,10000000,2026-07-04T18:10:05,0.03147561,0.007463345,23.71151806,0.0297027,0.0477663,0.0341902,0.0346687,0.0336137,0.0334656,0.0266242,0.0222865,0.0215581,0.0308801
PC_AMD_Ryzen_7_7735HS,numba_parallel_inner_loop_bool_sieve,50000000,2026-07-04T18:10:05,0.1830962,0.027777273,15.17086251,0.2295584,0.171893,0.1573818,0.1943244,0.2210341,0.1782787,0.1650769,0.1421276,0.171607,0.1996801
PC_AMD_Ryzen_7_7735HS,numba_parallel_inner_loop_bool_sieve,100000000,2026-07-04T18:10:05,0.39566073,0.038537328,9.739993276,0.4147754,0.3892583,0.4371448,0.3532764,0.3890673,0.407884,0.336257,0.4681504,0.380376,0.3804177
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,10000,,,,,,,,,,,,,,
,,50000,,,,,,,,,,,,,,
,,100000,,,,,,,,,,,,,,
,,500000,,,,,,,,,,,,,,
,,1000000,,,,,,,,,,,,,,
,,5000000,,,,,,,,,,,,,,
,,10000000,,,,,,,,,,,,,,
,,50000000,,,,,,,,,,,,,,
,,100000000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,N,Speedup  vectorization vs serial,"Speedup  
numba JIT vs serial",,,,,,,,,,,,
,,10000,6,0,,,,,,,,,,,,
,,50000,15,10,,,,,,,,,,,,
,,100000,18,10,,,,,,,,,,,,
,,500000,29,25,,,,,,,,,,,,
,,1000000,38,28,,,,,,,,,,,,
,,5000000,44,52,,,,,,,,,,,,
,,10000000,48,50,,,,,,,,,,,,
,,50000000,25,51,,,,,,,,,,,,
,,100000000,25,45,,,,,,,,,,,,
