machine,function,size,run_date,avg [s],std [s],rel_variance [%],rep_0,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,10000000,2026-07-04T18:42:26,0.03204241,0.004735059,14.77747595,0.0352204,0.0352553,0.0316822,0.029743,0.0287712,0.0287337,0.0282728,0.0281298,0.0314201,0.0431956
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,50000000,2026-07-04T18:42:26,0.32669681,0.021564125,6.600653726,0.3340055,0.3323175,0.362055,0.3436514,0.2962938,0.3211693,0.3171548,0.2897121,0.3348353,0.3357734
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,100000000,2026-07-04T18:42:26,0.70286938,0.022372792,3.18306535,0.7145277,0.7464451,0.7113185,0.7132759,0.6703161,0.7040249,0.6997506,0.6682712,0.7026453,0.6981185
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,N,Speedup after vectorization,reak,,,,,,,,,,,,
,,10000,6,20%,20.29064002,2.3,9.4,,,,,,,,,
,,50000,15,28%,28.15337062,2.4,28.0,,,,,,,,,
,,100000,18,17%,17.39588474,8.6,27.3,,,,,,,,,
,,500000,29,20%,20.36083946,11.5,47.4,,,,,,,,,
,,1000000,38,20%,20.37575722,14.6,60.7,,,,,,,,,
,,5000000,44,7%,7.108195589,34.6,53.4,,,,,,,,,
,,10000000,48,15%,15.0353791,26.1,69.1,,,,,,,,,
,,50000000,25,8%,8.282950566,18.4,30.6,,,,,,,,,
,,100000000,25,6%,5.909306623,20.2,29.0,,,,,,,,,
