function,size,run_date,time_avg,time_std,mem_avg,mem_std,time_rep_0,time_rep_1,time_rep_2,mem_rep_0,mem_rep_1,mem_rep_2
serial_int_array_sieve,10000,2026-07-02T19:35:20,0.0035781065622965493,0.0011938026882289017,176128.0,0.0,0.004950761795043945,0.0030014514923095703,0.002782106399536133,176128,176128,176128
serial_int_array_sieve,20000,2026-07-02T19:35:20,0.00500178337097168,0.0013279894309995363,262144.0,7094.480107802121,0.005738019943237305,0.0057985782623291016,0.003468751907348633,270336,258048,258048
serial_bitarray_sieve,10000,2026-07-02T19:35:20,0.0016016960144042969,0.00031983237006473193,60074.666666666664,2364.826702600707,0.0018916130065917969,0.0016548633575439453,0.0012586116790771484,57344,61440,61440
serial_bitarray_sieve,20000,2026-07-02T19:35:20,0.0038379033406575522,0.0007536073122178367,60074.666666666664,2364.826702600707,0.0032079219818115234,0.0036330223083496094,0.0046727657318115234,61440,61440,57344
serial_bool_sieve,10000,2026-07-02T19:35:20,0.0022660096486409507,0.0004998853804248372,105130.66666666667,22559.008961683874,0.0018355846405029297,0.0028142929077148438,0.002148151397705078,81920,126976,106496
serial_bool_sieve,20000,2026-07-02T19:35:20,0.0050000349680582685,0.002346211136489369,65536.0,7094.480107802121,0.003506183624267578,0.007704257965087891,0.003789663314819336,57344,69632,69632
