function,N,threads,run_date,time_avg,time_std,speedup_avg,time_rep_0,time_rep_1,time_rep_2,baseline_time
numba_parallel_inner_loop_bool_sieve,10000000,1,2026-07-03T19-17-25,0.014035533,0.000900481,1,0.0136392,0.0134012,0.0150662,
numba_parallel_inner_loop_bool_sieve,10000000,2,2026-07-03T19-17-25,0.010071433,0.000964635,1.393598391,0.0090743,0.0109999,0.0101401,0.014035533
numba_parallel_inner_loop_bool_sieve,10000000,4,2026-07-03T19-17-25,0.009586033,0.00123779,1.464164881,0.0096828,0.0083027,0.0107726,0.014035533
numba_parallel_inner_loop_bool_sieve,10000000,6,2026-07-03T19-17-25,0.007572333,0.000984701,1.853528191,0.0069931,0.0070146,0.0087093,0.014035533
numba_parallel_inner_loop_bool_sieve,10000000,8,2026-07-03T19-17-25,0.010575433,0.002841049,1.327182802,0.0134949,0.0104115,0.0078199,0.014035533
numba_parallel_inner_loop_bool_sieve,10000000,10,2026-07-03T19-17-25,0.010757867,0.002778881,1.304676265,0.0107427,0.0079866,0.0135443,0.014035533
numba_parallel_inner_loop_bool_sieve,10000000,12,2026-07-03T19-17-25,0.0106427,0.0007086,1.318794416,0.0108904,0.0098435,0.0111942,0.014035533
numba_parallel_inner_loop_bool_sieve,10000000,14,2026-07-03T19-17-25,0.011726033,0.001285077,1.196954917,0.0130691,0.0116009,0.0105081,0.014035533
numba_parallel_inner_loop_bool_sieve,10000000,16,2026-07-03T19-17-25,0.015648367,0.004430699,0.896932799,0.0207437,0.0134998,0.0127016,0.014035533
numba_parallel_inner_loop_bool_sieve,100000000,1,2026-07-03T19-17-25,0.555201167,0.007939825,1,0.5471853,0.5553555,0.5630627,
numba_parallel_inner_loop_bool_sieve,100000000,2,2026-07-03T19-17-25,0.367652167,0.003512541,1.510126193,0.3689854,0.3703029,0.3636682,0.555201167
numba_parallel_inner_loop_bool_sieve,100000000,4,2026-07-03T19-17-25,0.280417833,0.008592412,1.97990677,0.2821158,0.2711032,0.2880345,0.555201167
numba_parallel_inner_loop_bool_sieve,100000000,6,2026-07-03T19-17-25,0.291592733,0.004935781,1.904029502,0.2871127,0.2968838,0.2907817,0.555201167
numba_parallel_inner_loop_bool_sieve,100000000,8,2026-07-03T19-17-25,0.287470267,0.005866266,1.931334232,0.2830718,0.2941308,0.2852082,0.555201167
numba_parallel_inner_loop_bool_sieve,100000000,10,2026-07-03T19-17-25,0.279573033,0.003802232,1.985889555,0.2827996,0.2753812,0.2805383,0.555201167
numba_parallel_inner_loop_bool_sieve,100000000,12,2026-07-03T19-17-25,0.2781938,0.007749876,1.995735227,0.2722047,0.27543,0.2869467,0.555201167
numba_parallel_inner_loop_bool_sieve,100000000,14,2026-07-03T19-17-25,0.280811467,0.005928576,1.977131394,0.274808,0.2809642,0.2866622,0.555201167
numba_parallel_inner_loop_bool_sieve,100000000,16,2026-07-03T19-17-25,0.300658033,0.017399032,1.846620097,0.3078988,0.3132674,0.2808079,0.555201167
numba_parallel_inner_loop_bool_sieve,500000000,1,2026-07-03T19-17-25,3.223821667,0.016664171,1,3.2053608,3.2283519,3.2377523,
numba_parallel_inner_loop_bool_sieve,500000000,2,2026-07-03T19-17-25,2.2428986,0.027742791,1.43734615,2.2682423,2.2132581,2.2471954,3.223821667
numba_parallel_inner_loop_bool_sieve,500000000,4,2026-07-03T19-17-25,1.689907433,0.06723492,1.907691275,1.6152455,1.7088066,1.7456702,3.223821667
numba_parallel_inner_loop_bool_sieve,500000000,6,2026-07-03T19-17-25,1.711166467,0.010026447,1.883990675,1.720184,1.7003694,1.712946,3.223821667
numba_parallel_inner_loop_bool_sieve,500000000,8,2026-07-03T19-17-25,1.73132,0.009693847,1.86205997,1.7261622,1.7252955,1.7425023,3.223821667
numba_parallel_inner_loop_bool_sieve,500000000,10,2026-07-03T19-17-25,1.7478082,0.013973673,1.844493959,1.7535624,1.7318762,1.757986,3.223821667
numba_parallel_inner_loop_bool_sieve,500000000,12,2026-07-03T19-17-25,1.787409167,0.023288956,1.80362825,1.8139457,1.7779138,1.770368,3.223821667
numba_parallel_inner_loop_bool_sieve,500000000,14,2026-07-03T19-17-25,1.866121933,0.070717352,1.727551458,1.9232348,1.8881079,1.7870231,3.223821667
numba_parallel_inner_loop_bool_sieve,500000000,16,2026-07-03T19-17-25,2.033046667,0.033770631,1.585709625,2.0052965,2.0231962,2.0706473,3.223821667
numba_parallel_inner_loop_bool_sieve,1000000000,1,2026-07-03T19-17-25,7.1254356,0.187332276,1,7.007634,7.3414525,7.0272203,
numba_parallel_inner_loop_bool_sieve,1000000000,2,2026-07-03T19-17-25,6.546823633,0.299855711,1.088380564,6.6078784,6.2211392,6.8114533,7.1254356
numba_parallel_inner_loop_bool_sieve,1000000000,4,2026-07-03T19-17-25,4.281933633,0.309134219,1.664069603,4.6381316,4.0836797,4.1239896,7.1254356
numba_parallel_inner_loop_bool_sieve,1000000000,6,2026-07-03T19-17-25,3.6527385,0.119316472,1.95071057,3.6008789,3.7892095,3.5681271,7.1254356
numba_parallel_inner_loop_bool_sieve,1000000000,8,2026-07-03T19-17-25,3.6178097,0.020174993,1.969544059,3.6411025,3.605825,3.6065016,7.1254356
