machine,function,size,run_date,avg [s],std [s],rel_variance [%],rep_0,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,10000,2026-07-05T00:37:47,0.0002744100012932904,0.00022465594295917093,81.86871538951596,0.0008967000030679628,0.0002938000106951222,0.00029399999766610563,0.00023660001170355827,0.0001731999946059659,0.00017070000467356294,0.00017050000315066427,0.0001677999971434474,0.00017059998936019838,0.00017020000086631626
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,50000,2026-07-05T00:37:47,0.0004760799987707287,0.00011961372750200237,25.124711773410613,0.0006642999942414463,0.0003994999860879034,0.0003941000031773001,0.0005271999980323017,0.0006976000004215166,0.0005082999996375293,0.0003988999960711226,0.0003896000125678256,0.0003902000025846064,0.0003910999948857352
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,100000,2026-07-05T00:37:47,0.0007525600012741052,0.00018246892230024302,24.246428456377966,0.0012697000056505203,0.0007000000041443855,0.0006914999976288527,0.0006632000004174188,0.0006750000029569492,0.0006974999996600673,0.0007246999884955585,0.0006960000027902424,0.000705700003891252,0.000702300007105805
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,500000,2026-07-05T00:37:47,0.002248550001240801,0.0003219666264601646,14.318855541682241,0.0025960000057239085,0.0021326999994926155,0.0020671999955084175,0.0021034000092186034,0.002064900007098913,0.003047499994863756,0.0021755000052507967,0.00211789998866152,0.0021015999955125153,0.0020788000110769644
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,1000000,2026-07-05T00:37:47,0.0036457199996220878,0.0003710203491551792,10.176874504724413,0.004604000001563691,0.003941899994970299,0.0034974000009242445,0.0034454999986337498,0.0034050000103889033,0.00347509999119211,0.0036080999998375773,0.0035637999972095713,0.0035096000065095723,0.003406799994991161
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,5000000,2026-07-05T00:37:47,0.01603264999575913,0.0018564609836156207,11.579252239066415,0.01582570000027772,0.017371499998262152,0.02024810000148136,0.01652379998995457,0.016357199987396598,0.015931299989460967,0.015242499997839332,0.014625499999965541,0.014802099991356954,0.0133988000015961
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,10000000,2026-07-05T00:37:47,0.0331562000035774,0.0017782474981780068,5.363242766017041,0.037539299999480136,0.03419720000238158,0.03208659999654628,0.032956700000795536,0.03174240000953432,0.03214999999909196,0.03337920000194572,0.03165920000174083,0.032039100013207644,0.033812300011049956
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,50000000,2026-07-05T00:37:47,0.2911088800028665,0.011392833056339613,3.913598601398703,0.3029802999953972,0.2983029000024544,0.30185900001379196,0.28696040000068024,0.302148999995552,0.2786958000069717,0.27729870000621304,0.3016037000052165,0.28540620001149364,0.2758327999908943
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,100000000,2026-07-05T00:37:47,0.7117220499974792,0.06456895437759429,9.072214971817015,0.6918644999968819,0.6558719000022393,0.659407300001476,0.692598800000269,0.8107328999903984,0.7302230999921449,0.8387676999991527,0.7097462999954587,0.6695848999952432,0.6584231000015279
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,500000000,2026-07-05T00:37:47,3.8152265599987003,0.18398995709895,4.822517200630221,4.158883999989484,4.157854300006875,3.7571615999913774,3.766744500011555,3.694537200004561,3.765495200001169,3.687254300006316,3.678441899988684,3.721975599997677,3.7639169999893056
PC_AMD_Ryzen_7_7735HS,numba_parallel_inner_loop_bool_sieve,10000,2026-07-05T00:37:47,0.11804027000034693,0.37181100453492855,314.98657579640894,1.176232900004834,0.0004817000008188188,0.00039339999784715474,0.00036609999369829893,0.0006489999941550195,0.0005781000072602183,0.0005643000040436164,0.00036190000537317246,0.0003910999948857352,0.0003842000005533919
PC_AMD_Ryzen_7_7735HS,numba_parallel_inner_loop_bool_sieve,50000,2026-07-05T00:37:47,0.0008956499994383193,0.00019029714680031458,21.24682040078757,0.001286599988816306,0.0008974999946076423,0.000782300005084835,0.0007998000073712319,0.0007769000076223165,0.0007840999896870926,0.001212100003613159,0.0008105000015348196,0.0008088999893516302,0.0007978000066941604
PC_AMD_Ryzen_7_7735HS,numba_parallel_inner_loop_bool_sieve,100000,2026-07-05T00:37:47,0.0018840599979739637,0.0006848104534023305,36.34759265303366,0.0028083999932277948,0.0032179999980144203,0.0024495000106981024,0.0015168999962043017,0.0013693999935640022,0.0013975999900139868,0.001786199994967319,0.0014708999951835722,0.0014597999979741871,0.0013639000098919496
