machine,function,size,run_date,avg [s],std [s],rel_variance [%],rep_0,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15,rep_16,rep_17,rep_18,rep_19
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,5000000,2026-07-04T22:44:39,0.013755214998673182,0.003562888941416722,25.902095617992124,0.012505599996075034,0.011534400007803924,0.01255069999024272,0.013274700002511963,0.01333889999659732,0.013574299999163486,0.013691699990886264,0.01397529999667313,0.013167400000384077,0.012111900010495447,0.011540799998329021,0.013827599992509931,0.011138300003949553,0.010975400000461377,0.012544099998194724,0.012116199999582022,0.01277729999856092,0.012833899992983788,0.024800999992294237,0.0228248000057647
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,6000000,2026-07-04T22:44:39,0.02325259499848471,0.005485450745028019,23.59070351238426,0.03623299999162555,0.025946199995814823,0.023454199996194802,0.024077900001429953,0.022367400000803173,0.022036099995602854,0.021243900002446026,0.018930799997178838,0.01730870000028517,0.017740399998729117,0.017390399996656924,0.01634370000101626,0.016146900001331232,0.019324400011100806,0.024327500010258518,0.02502699999604374,0.028002099992590956,0.028266499997698702,0.029684999986784533,0.03119979999610223
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,7000000,2026-07-04T22:44:39,0.0454523100030201,0.009976911162182864,21.950284070314453,0.03429069998674095,0.03488810000999365,0.03829290000430774,0.04070050000154879,0.041857600008370355,0.039621700008865446,0.03846450000128243,0.04596329999912996,0.05338860000483692,0.06757880000805017,0.05840809999790508,0.061049500000081025,0.05278620000171941,0.05200989999866579,0.05462640000041574,0.04013839999970514,0.034219000008306466,0.03812440000183415,0.04832840000744909,0.03430920001119375
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,8000000,2026-07-04T22:44:39,0.03582124999957159,0.00953683752455686,26.62340796223168,0.043943800003034994,0.052738400001544505,0.04535419998865109,0.04904180001176428,0.039670500002102926,0.04719689999183174,0.03805149999971036,0.04838910000398755,0.032787899996037595,0.025405599997611716,0.027034799990360625,0.029607400007080287,0.027492299996083602,0.025456799994572066,0.023849200006225146,0.0237807000085013,0.027828199992654845,0.04129510000348091,0.03273209999315441,0.034768700003041886
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,9000000,2026-07-04T22:44:39,0.04613180000305874,0.011086346640673346,24.031896955978894,0.04761490000237245,0.043525300003238954,0.05587039999954868,0.050372400000924245,0.04976880000322126,0.08243170000787359,0.05289679999987129,0.03863159999309573,0.04562830000941176,0.03867110000282992,0.03433710000535939,0.032847400012542494,0.034676800001761876,0.039243199993507005,0.05679100000998005,0.0429537000018172,0.04478490000474267,0.0457042000052752,0.04943410000123549,0.03645230000256561
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,10000000,2026-07-04T22:44:39,0.026662155000667553,0.004689991617947446,17.590444650216835,0.03364139999030158,0.0332120999955805,0.03176679999160115,0.027973000003839843,0.02448220000951551,0.026090500003192574,0.023966900000232272,0.023308499992708676,0.023723400008748285,0.023144199993112125,0.023183800003607757,0.02366640001127962,0.023753300003590994,0.025067499998840503,0.023590600001625717,0.023605499998666346,0.03275420000136364,0.03872149999369867,0.02522820000012871,0.022363100011716597
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,11000000,2026-07-04T22:44:39,0.026049119998788228,0.0019487582986346104,7.481090719092485,0.02695579999999609,0.026559699996141717,0.025319299995317124,0.025689200003398582,0.028108099999371916,0.026062099990667775,0.024908299994422123,0.028549499998916872,0.030285700006061234,0.029497299998183735,0.027562700008274987,0.026612099987687543,0.025521000003209338,0.02383479999843985,0.023915600002510473,0.02360960000078194,0.024498099999618717,0.025252999999793246,0.024172099991119467,0.024068400001851842
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,12000000,2026-07-04T22:44:39,0.028609019999566953,0.0033203671017434403,11.606014822575887,0.028444199997466058,0.029073800003970973,0.027999500001897104,0.026026200008345768,0.02632350000203587,0.02644729999883566,0.026755900005809963,0.027422600003774278,0.026248499998473562,0.02700360000017099,0.02583529999537859,0.028643199999351054,0.03531809999549296,0.035103499991237186,0.03404549999686424,0.0268515999923693,0.026528600006713532,0.02568489999976009,0.034771599996020086,0.027652999997371808
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,13000000,2026-07-04T22:44:39,0.032370250001258684,0.006198935003147687,19.150099251339263,0.031067500007338822,0.05107650000718422,0.04699360000086017,0.038006899994798005,0.033364800008712336,0.028885499996249564,0.03436540000257082,0.03102039999794215,0.02892680000513792,0.028921000004629605,0.028331699999398552,0.029456299991579726,0.028834799988544546,0.02963659999659285,0.0285757000092417,0.029750600006082095,0.029843399999663234,0.03140710000297986,0.029379800005699508,0.029560599999967963
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,14000000,2026-07-04T22:44:39,0.03387634999962756,0.004052866984755157,11.963706198571318,0.04124559999036137,0.032557500002440065,0.030962999997427687,0.03068100000382401,0.031189700006507337,0.034892499999841675,0.03685849999601487,0.031730200003948994,0.031076999992365018,0.03540670000074897,0.030841400002827868,0.030252199998358265,0.03100540000014007,0.032432099993457086,0.04478670000389684,0.040230200000223704,0.033609999998589046,0.03168610000284389,0.03492099999857601,0.03116020000015851
