machine,function,segment size [B],size,run_date,avg [s],std [s],rel_variance [%],rep_0,rep_1,rep_2,rep_3,rep_4,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,35000,100000000,2026-07-05T09:21:58,2.36828378,0.154556299,6.526088639,2.1968855,2.2996414,2.5355514,2.5288376,2.280503,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,400000,100000000,2026-07-05T09:21:58,0.42281962,0.036385796,8.605512723,0.4565079,0.4031227,0.452253,0.4324414,0.3697731,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,500000,100000000,2026-07-05T09:21:58,0.37058656,0.020770157,5.604670997,0.3866917,0.3451426,0.3818611,0.3881907,0.3510467,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,600000,100000000,2026-07-05T09:21:58,0.36966178,0.024088386,6.516331116,0.3485584,0.3887079,0.3647049,0.4002218,0.3461159,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,10000000,100000000,2026-07-05T09:21:58,0.28477932,0.024810168,8.712068118,0.2689529,0.2738109,0.3048573,0.2592785,0.316997,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,14000000,100000000,2026-07-05T09:21:58,0.39432174,0.053462405,13.5580668,0.4737058,0.3396425,0.3937463,0.4126694,0.3518447,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,20000000,100000000,2026-07-05T09:21:58,0.61897098,0.076530486,12.36414767,0.5825893,0.6889414,0.5580058,0.7136428,0.5516756,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,25000,200000000,2026-07-05T09:21:58,9.21228424,0.852353476,9.252357546,9.5892527,10.0437399,9.8374513,8.2762546,8.3147227,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,30000,200000000,2026-07-05T09:21:58,6.6465205,0.274946635,4.13670032,6.9061293,6.6516813,6.5160233,6.9025833,6.2561853,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,35000,200000000,2026-07-05T09:21:58,5.39755154,0.039683191,0.735207257,5.393385,5.3682868,5.4572909,5.4118783,5.3569167,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,400000,200000000,2026-07-05T09:21:58,0.80604162,0.012162848,1.508960336,0.7942681,0.8130959,0.8036603,0.7959449,0.8232389,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,500000,200000000,2026-07-05T09:21:58,0.7214032,0.015834113,2.194904794,0.7039005,0.725205,0.7437235,0.725659,0.708528,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,600000,200000000,2026-07-05T09:21:58,0.67435644,0.013174339,1.95361655,0.6898548,0.6693746,0.6562658,0.6841966,0.6720904,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,10000000,200000000,2026-07-05T09:21:58,0.44184208,0.010073175,2.279813334,0.4396269,0.4488345,0.4259799,0.4429671,0.451802,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,14000000,200000000,2026-07-05T09:21:58,0.4723215,0.02923712,6.190088841,0.4652917,0.4834912,0.4488295,0.5173948,0.4466003,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,20000000,200000000,2026-07-05T09:21:58,0.8447362,0.014158485,1.676083594,0.8521453,0.8645162,0.8277759,0.8368163,0.8424273,,,,,,,,,,,,,
