function,N,threads,run_date,time_avg,time_std,speedup_avg,time_rep_0,time_rep_1,time_rep_2,baseline_time
numba_parallel_inner_loop_bool_sieve,10000000,1,2026-07-05T06-32-26,0.030999466670133796,0.006005542712311644,1.0,0.02563840000948403,0.03748929999710526,0.02987070000381209,
numba_parallel_inner_loop_bool_sieve,10000000,2,2026-07-05T06-32-26,0.02142093334017166,0.0013918699498118561,1.447157608767638,0.022973700004513375,0.021003700006986037,0.020285400009015575,0.030999466670133796
numba_parallel_inner_loop_bool_sieve,10000000,3,2026-07-05T06-32-26,0.022810433331566553,0.0036746247694999096,1.359003847911768,0.021599100000457838,0.019894400000339374,0.026937799993902445,0.030999466670133796
numba_parallel_inner_loop_bool_sieve,10000000,4,2026-07-05T06-32-26,0.022686299994044628,0.001526804404195136,1.3664399517890293,0.02261069999076426,0.021198699992964976,0.024249499998404644,0.030999466670133796
numba_parallel_inner_loop_bool_sieve,10000000,5,2026-07-05T06-32-26,0.02789386666457479,0.007526115081257258,1.111336303528801,0.0365758999978425,0.023222500007250346,0.02388319998863153,0.030999466670133796
numba_parallel_inner_loop_bool_sieve,10000000,6,2026-07-05T06-32-26,0.025560033333022147,0.002934488957606829,1.2128101034236212,0.02597030000470113,0.022442000001319684,0.028267799993045628,0.030999466670133796
numba_parallel_inner_loop_bool_sieve,10000000,7,2026-07-05T06-32-26,0.02807320000041121,0.004181957583357178,1.1042370185685895,0.03288980000070296,0.025963299995055422,0.025366500005475245,0.030999466670133796
numba_parallel_inner_loop_bool_sieve,10000000,8,2026-07-05T06-32-26,0.03073999999711911,0.0030451500293367777,1.0084406855250163,0.0272971999947913,0.0318422999989707,0.033080499997595325,0.030999466670133796
numba_parallel_inner_loop_bool_sieve,100000000,1,2026-07-05T06-32-26,0.6298531666689087,0.004154870840335936,1.0,0.6345736000075703,0.6267506000003777,0.6282352999987779,
numba_parallel_inner_loop_bool_sieve,100000000,2,2026-07-05T06-32-26,0.46827846667050227,0.009255629168253923,1.3450397818785382,0.4587835999991512,0.46877710000262596,0.4772747000097297,0.6298531666689087
numba_parallel_inner_loop_bool_sieve,100000000,3,2026-07-05T06-32-26,0.5032081999913013,0.06786926519803543,1.251675085342005,0.49075889999221545,0.4424253999895882,0.5764402999921003,0.6298531666689087
numba_parallel_inner_loop_bool_sieve,100000000,4,2026-07-05T06-32-26,0.4452275666699279,0.043149898139205195,1.4146769288790557,0.4926971999957459,0.40838210000947583,0.434603400004562,0.6298531666689087
numba_parallel_inner_loop_bool_sieve,100000000,5,2026-07-05T06-32-26,0.450808633332296,0.021607134569779553,1.397163053451634,0.4272437000036007,0.45549259999825153,0.4696895999950357,0.6298531666689087
numba_parallel_inner_loop_bool_sieve,100000000,6,2026-07-05T06-32-26,0.48106009999658755,0.017193796162734195,1.3093024482250275,0.4953977999975905,0.48578449999331497,0.46199799999885727,0.6298531666689087
numba_parallel_inner_loop_bool_sieve,100000000,7,2026-07-05T06-32-26,0.5072856999953123,0.0413410387244824,1.2416142751012478,0.5346771999902558,0.5274479000072461,0.45973199998843484,0.6298531666689087
numba_parallel_inner_loop_bool_sieve,100000000,8,2026-07-05T06-32-26,0.4867275333381258,0.03606950286470667,1.2940569898505303,0.4868270000006305,0.5227472000115085,0.45060840000223834,0.6298531666689087
numba_parallel_inner_loop_bool_sieve,1000000000,1,2026-07-05T06-32-26,8.242450400003387,0.34710810429007494,1.0,8.503914100001566,8.374799500001245,7.848637600007351,
numba_parallel_inner_loop_bool_sieve,1000000000,2,2026-07-05T06-32-26,5.565898833335571,0.08587519074717845,1.4808839770204363,5.6635616999992635,5.5022006000072,5.531934200000251,8.242450400003387
numba_parallel_inner_loop_bool_sieve,1000000000,3,2026-07-05T06-32-26,5.521319833336747,0.858497182194885,1.4928405976840786,4.718725099999574,5.418733600003179,6.426500800007489,8.242450400003387
numba_parallel_inner_loop_bool_sieve,1000000000,4,2026-07-05T06-32-26,5.676792633336542,0.03517370066682573,1.4519555200237912,5.70659539999906,5.685787599999458,5.637994900011108,8.242450400003387
numba_parallel_inner_loop_bool_sieve,1000000000,5,2026-07-05T06-32-26,5.601042700000107,0.12810651096472453,1.4715921376573737,5.498375099996338,5.5601496000017505,5.744603400002234,8.242450400003387
numba_parallel_inner_loop_bool_sieve,1000000000,6,2026-07-05T06-32-26,5.345320333338653,0.5955966143015957,1.5419937227326477,6.028443500006688,5.072623700005352,4.93489380000392,8.242450400003387
numba_parallel_inner_loop_bool_sieve,1000000000,7,2026-07-05T06-32-26,4.926226966660276,0.29960023272551556,1.6731771507457232,5.268288399995072,4.710410299987416,4.79998219999834,8.242450400003387
numba_parallel_inner_loop_bool_sieve,1000000000,8,2026-07-05T06-32-26,4.425002366673046,0.17193607611244285,1.8626996591191662,4.6223673000058625,4.344956600005389,4.307683200007887,8.242450400003387
